droneId,latitude,longitude,pm25,co2,no2,temperature,humidity
1,24.68632,46.59160,14.8,414.5,27.0,34.9,20.5
1,24.68548,46.59074,12.7,411.6,25.9,34.9,20.8
1,24.68464,46.58987,14.7,419.4,26.7,34.9,19.8
1,24.68380,46.58901,10.7,417.6,25.8,34.6,19.9
1,24.68296,46.58815,13.1,412.4,26.6,35.0,19.4
1,24.68211,46.58728,14.2,406.4,26.3,35.2,19.4
1,24.68127,46.58642,13.2,416.2,26.7,35.1,20.2
1,24.68043,46.58555,13.0,416.3,26.0,34.6,19.6
1,24.67959,46.58469,14.0,409.4,27.2,34.7,20.9
1,24.67874,46.58383,10.8,406.4,25.8,35.4,20.3
1,24.67790,46.58296,11.1,417.4,25.6,35.4,19.3
1,24.67706,46.58210,11.2,412.8,26.6,34.6,19.9
1,24.67622,46.58124,11.6,419.0,26.6,34.5,20.2
1,24.67537,46.58037,15.0,413.1,26.7,34.9,20.7
1,24.67453,46.57951,12.0,405.4,26.0,34.7,20.1
1,24.67369,46.57865,13.7,419.4,27.4,34.7,20.2
2,24.76076,46.77184,22.7,449.6,30.7,34.5,19.9
2,24.76115,46.77278,23.1,449.1,31.0,34.8,19.5
2,24.76155,46.77372,22.0,438.6,30.7,35.0,19.1
2,24.76194,46.77466,23.1,439.8,31.2,35.1,19.8
2,24.76234,46.77560,21.1,439.0,30.8,34.7,19.9
2,24.76274,46.77654,21.2,444.1,30.5,35.5,19.2
2,24.76313,46.77748,18.5,441.1,28.6,34.8,19.1
2,24.76353,46.77842,19.6,441.1,30.0,35.0,20.6
2,24.76393,46.77936,21.0,440.0,29.8,34.5,19.2
2,24.76432,46.78030,21.6,443.7,31.6,34.7,20.1
2,24.76472,46.78124,21.1,452.7,30.1,34.8,19.5
2,24.76512,46.78218,21.5,438.7,30.5,35.3,20.4
2,24.76551,46.78312,22.0,449.4,31.8,35.1,20.7
2,24.76591,46.78406,23.0,441.1,30.9,35.2,19.7
2,24.76630,46.78500,21.6,441.7,30.1,35.3,19.2
2,24.76670,46.78594,23.2,444.6,31.1,35.3,19.7
2,24.76710,46.78689,22.5,446.4,31.6,35.4,19.6
2,24.76749,46.78783,22.2,441.1,31.4,34.6,20.6
2,24.76789,46.78877,19.3,445.0,29.5,34.6,20.0
2,24.76829,46.78971,19.4,451.1,30.2,35.4,20.5
2,24.76868,46.79065,20.9,441.1,30.9,35.0,20.4
2,24.76908,46.79159,62.2,548.6,32.1,35.2,19.3
2,24.76948,46.79253,61.1,551.8,30.7,34.7,20.4
2,24.76987,46.79347,61.4,549.2,30.1,34.7,19.5
2,24.77027,46.79441,62.0,549.1,30.6,34.6,20.2
2,24.77066,46.79535,58.9,552.9,29.0,34.8,20.1
2,24.77106,46.79629,62.5,546.4,32.0,34.6,20.6
2,24.77146,46.79723,62.3,549.7,30.3,35.0,20.1
2,24.77185,46.79817,60.7,540.2,30.8,35.5,20.9
2,24.77225,46.79911,60.2,547.7,30.6,34.8,20.1
2,24.77265,46.80005,23.0,438.2,30.8,35.5,20.8
2,24.77304,46.80099,19.9,448.5,30.4,34.8,19.7
2,24.77344,46.80193,18.3,441.3,29.0,34.9,19.7
2,24.77383,46.80287,22.0,439.3,31.0,35.3,19.4
2,24.77423,46.80381,21.7,442.6,30.6,34.9,20.1
2,24.77463,46.80475,18.6,441.9,28.3,34.9,20.9
2,24.77502,46.80569,18.8,448.9,28.9,34.9,19.7
2,24.77542,46.80663,19.9,438.7,30.5,34.8,20.1
2,24.77582,46.80757,20.5,449.4,31.0,35.0,20.0
2,24.77621,46.80851,18.9,448.9,29.0,34.7,19.9
2,24.77661,46.80945,19.7,438.2,29.3,35.2,20.6
2,24.77701,46.81039,19.9,452.9,30.8,34.6,21.0
2,24.77740,46.81133,22.7,450.0,32.2,34.8,19.1
2,24.77780,46.81227,20.4,447.2,30.1,35.4,20.0
2,24.77819,46.81321,21.8,445.0,31.6,34.9,19.9
2,24.77859,46.81415,21.5,447.7,30.6,35.5,19.0
2,24.77899,46.81509,21.4,445.0,30.0,34.5,20.1
2,24.77938,46.81603,18.3,442.6,29.8,34.8,20.3
2,24.77978,46.81698,19.7,448.2,30.0,35.2,19.4
2,24.78018,46.81792,20.2,441.6,30.5,35.0,19.1
3,24.78957,46.67263,28.5,443.4,34.4,34.7,20.6
3,24.79055,46.67288,29.7,431.3,34.0,34.9,20.9
3,24.79153,46.67314,31.1,430.5,35.2,35.5,20.6
3,24.79250,46.67340,26.6,434.9,32.6,35.5,19.3
3,24.79348,46.67365,26.7,429.9,32.6,35.0,20.4
3,24.79446,46.67391,31.2,441.0,35.6,35.2,20.5
3,24.79543,46.67416,28.9,436.8,34.3,34.7,19.9
3,24.79641,46.67442,31.6,435.7,36.5,34.7,20.5
3,24.79739,46.67467,27.1,436.8,33.1,35.0,20.2
3,24.79836,46.67493,30.3,434.9,35.9,35.1,19.0
3,24.79934,46.67518,27.8,437.5,34.8,34.9,20.7
3,24.80032,46.67544,30.7,442.2,34.8,35.2,20.9
3,24.80129,46.67569,29.9,431.6,35.3,35.4,20.6
3,24.80227,46.67595,27.1,430.2,33.8,34.6,20.9
3,24.80325,46.67620,27.1,444.2,34.2,34.7,19.8
3,24.80422,46.67646,27.4,433.9,32.8,35.2,20.0
3,24.80520,46.67671,26.9,430.9,33.2,35.5,19.0
3,24.80617,46.67697,28.4,438.4,33.5,34.9,19.9
3,24.80715,46.67722,29.1,432.5,34.5,35.2,20.3
3,24.80813,46.67748,30.6,439.3,35.8,35.5,20.6
3,24.80910,46.67773,27.3,438.2,33.4,34.5,20.1
3,24.81008,46.67799,69.9,540.7,34.8,34.7,19.5
3,24.81106,46.67825,68.1,535.4,33.2,35.3,20.0
3,24.81203,46.67850,68.4,534.7,35.2,34.8,19.6
3,24.81301,46.67876,69.2,538.1,34.2,34.8,20.5
3,24.81399,46.67901,69.7,530.4,35.4,35.3,20.7
3,24.81496,46.67927,68.2,536.8,34.6,35.3,19.3
3,24.81594,46.67952,70.6,540.0,35.8,35.3,19.3
3,24.81692,46.67978,66.6,538.8,32.6,35.3,20.9
3,24.81789,46.68003,71.1,540.6,36.2,34.6,20.3
3,24.81887,46.68029,31.5,441.0,35.9,34.7,20.4
3,24.81985,46.68054,29.6,430.2,34.3,34.5,20.8
3,24.82082,46.68080,30.3,441.4,34.7,35.3,19.2
3,24.82180,46.68105,27.3,435.2,33.7,35.2,20.6
3,24.82278,46.68131,28.5,439.4,34.0,34.6,20.7
3,24.82375,46.68156,27.0,433.9,33.7,35.2,19.6
3,24.82473,46.68182,29.0,436.1,33.8,34.6,20.5
3,24.82571,46.68207,30.5,429.9,36.1,34.6,19.3
3,24.82668,46.68233,31.5,437.0,36.2,35.1,20.6
3,24.82766,46.68259,29.4,433.4,34.6,34.8,19.3
3,24.82864,46.68284,31.0,432.0,35.8,35.5,21.0
3,24.82961,46.68310,30.8,440.5,35.7,35.0,19.6
3,24.83059,46.68335,31.0,437.8,35.8,35.1,19.8
3,24.83157,46.68361,31.1,435.4,34.8,34.7,21.0
3,24.83254,46.68386,28.3,440.5,34.6,35.1,19.8
3,24.83352,46.68412,28.7,441.1,34.7,35.0,19.1
3,24.83450,46.68437,29.8,432.5,34.8,35.2,20.8
3,24.83547,46.68463,27.4,442.5,34.2,34.9,19.5
3,24.83645,46.68488,30.6,430.4,35.8,35.2,20.8
3,24.83743,46.68514,28.1,437.8,34.4,35.3,20.1
4,24.60100,46.56040,27.1,408.2,32.6,34.7,19.5
4,24.60034,46.56023,25.8,403.2,33.2,35.0,19.4
4,24.59967,46.56005,29.6,405.4,35.4,35.3,20.8
4,24.59900,46.55988,24.9,400.1,32.2,35.1,19.9
4,24.59833,46.55970,26.2,399.8,33.0,35.4,20.3
4,24.59767,46.55953,27.6,405.1,33.4,34.8,20.1
4,24.59700,46.55936,29.4,405.7,35.0,34.5,20.7
4,24.59633,46.55918,28.7,407.0,35.2,34.8,19.4
4,24.59567,46.55901,29.3,400.8,34.7,34.9,19.6
4,24.59500,46.55883,27.5,405.9,32.8,35.3,19.6
4,24.59433,46.55866,27.1,400.7,34.4,35.5,20.6
4,24.59367,46.55849,28.4,408.7,33.3,35.5,19.2
4,24.59300,46.55831,28.8,408.8,33.4,34.8,19.3
4,24.59233,46.55814,29.3,396.4,34.5,35.1,19.4
4,24.59167,46.55797,25.2,403.8,32.9,35.0,20.8
4,24.59100,46.55779,28.2,403.4,33.9,34.8,19.9
4,24.59033,46.55762,27.5,407.2,34.5,34.8,19.1
4,24.58967,46.55744,27.0,394.9,32.9,35.1,20.9
4,24.58900,46.55727,27.9,395.3,34.5,34.8,19.2
4,24.58833,46.55710,27.2,395.3,32.8,35.2,20.9
4,24.58767,46.55692,26.6,401.7,33.7,34.5,20.0
4,24.58700,46.55675,67.5,507.0,33.6,35.2,20.7
4,24.58633,46.55658,69.5,499.4,34.8,35.3,20.5
4,24.58567,46.55640,65.0,502.9,32.6,35.0,19.1
4,24.58500,46.55623,67.7,501.3,33.0,34.8,19.7
4,24.58433,46.55605,68.1,498.1,34.0,35.3,19.0
4,24.58367,46.55588,64.9,509.1,32.4,35.0,20.9
4,24.58300,46.55571,69.0,496.2,35.0,34.7,21.0
4,24.58233,46.55553,65.2,498.2,33.3,34.9,20.9
4,24.58167,46.55536,67.3,498.4,33.2,34.6,19.2
4,24.58100,46.55519,29.4,401.4,34.8,35.4,20.4
4,24.58033,46.55501,27.8,400.1,33.2,35.0,20.3
4,24.57967,46.55484,27.8,401.1,34.6,34.9,19.7
4,24.57900,46.55466,26.2,402.9,32.7,35.2,19.5
4,24.57833,46.55449,27.1,399.6,34.2,34.6,20.2
4,24.57767,46.55432,27.6,397.1,33.7,34.5,20.1
4,24.57700,46.55414,28.7,402.0,34.0,35.0,20.6
4,24.57633,46.55397,28.4,407.2,34.5,34.9,20.5
4,24.57567,46.55380,27.0,403.5,34.5,34.8,20.4
4,24.57500,46.55362,28.3,397.0,34.6,35.2,20.4
4,24.57433,46.55345,25.3,394.5,32.1,35.4,20.0
4,24.57366,46.55327,28.6,404.1,34.4,34.6,19.6
4,24.57300,46.55310,27.8,401.9,33.2,34.6,19.9
4,24.57233,46.55293,28.0,397.9,34.4,35.3,21.0
4,24.57166,46.55275,28.1,402.5,34.6,35.1,19.4
4,24.57100,46.55258,29.0,396.7,34.7,35.2,19.1
4,24.57033,46.55240,28.6,406.7,33.7,34.7,20.7
4,24.56966,46.55223,25.3,400.6,33.1,35.4,20.9
4,24.56900,46.55206,29.2,399.8,34.7,35.5,20.5
4,24.56833,46.55188,29.7,397.0,34.0,35.4,19.8
5,24.69077,46.56438,17.9,427.8,28.9,34.7,19.8
5,24.69100,46.56397,18.8,441.5,29.3,35.0,20.3
5,24.69124,46.56357,21.4,432.8,31.7,34.7,19.8
5,24.69147,46.56316,18.5,437.7,30.2,35.3,20.5
5,24.69170,46.56275,21.2,432.2,30.6,34.7,19.5
5,24.69194,46.56235,21.2,435.9,30.7,35.2,20.2
5,24.69217,46.56194,18.7,436.9,29.6,35.1,20.4
5,24.69240,46.56153,18.4,429.3,28.3,35.3,20.8
5,24.69264,46.56112,22.1,430.5,31.3,35.4,19.1
5,24.69287,46.56072,19.1,442.0,29.4,34.8,19.5
5,24.69311,46.56031,18.1,441.0,28.1,35.4,19.0
5,24.69334,46.55990,18.9,441.4,28.8,35.2,20.5
5,24.69357,46.55950,22.7,433.8,30.6,34.9,19.5
5,24.69381,46.55909,19.5,432.6,29.2,35.0,20.3
5,24.69404,46.55868,20.0,431.6,29.3,34.6,20.5
5,24.69427,46.55828,19.3,428.6,30.5,35.4,19.7
5,24.69451,46.55787,21.9,427.7,31.1,35.0,21.0
5,24.69474,46.55746,22.6,435.9,31.5,35.1,19.3
5,24.69497,46.55706,19.5,440.3,30.3,34.9,19.7
5,24.69521,46.55665,18.3,430.4,30.0,35.4,20.6
5,24.69544,46.55624,19.8,438.7,29.8,34.8,20.7
5,24.69567,46.55583,61.5,529.1,30.5,34.9,20.1
5,24.69591,46.55543,58.4,537.0,29.4,35.5,20.9
5,24.69614,46.55502,60.5,535.6,30.0,35.3,19.7
5,24.69637,46.55461,57.9,529.5,29.6,34.9,20.3
5,24.69661,46.55421,59.2,534.9,30.5,34.9,19.2
5,24.69684,46.55380,58.2,533.4,29.0,34.8,20.7
5,24.69708,46.55339,62.0,539.6,30.6,35.1,19.4
5,24.69731,46.55299,60.5,531.7,30.2,34.7,20.9
5,24.69754,46.55258,57.8,542.2,28.1,34.8,19.1
5,24.69778,46.55217,19.6,439.1,30.5,34.7,19.7
5,24.69801,46.55177,22.6,438.2,30.6,35.3,19.3
5,24.69824,46.55136,21.0,436.6,30.3,35.2,20.9
5,24.69848,46.55095,19.5,436.7,30.3,35.1,19.1
5,24.69871,46.55055,21.8,431.6,30.1,35.4,20.0
5,24.69894,46.55014,18.5,434.3,28.9,35.5,19.9
5,24.69918,46.54973,20.6,429.1,31.3,35.5,19.1
5,24.69941,46.54932,21.1,441.3,30.2,34.9,19.9
5,24.69964,46.54892,19.0,432.1,30.2,34.8,20.1
5,24.69988,46.54851,20.7,441.9,30.8,34.8,20.4
5,24.70011,46.54810,21.0,432.1,29.7,35.3,20.2
5,24.70034,46.54770,19.0,437.3,28.9,35.2,20.9
5,24.70058,46.54729,17.8,429.7,28.8,35.0,20.4
5,24.70081,46.54688,19.5,432.7,30.6,35.0,20.7
5,24.70105,46.54648,20.8,438.2,30.0,34.8,20.0
5,24.70128,46.54607,20.7,428.6,30.3,35.2,20.5
5,24.70151,46.54566,18.3,435.1,29.4,34.8,20.5
5,24.70175,46.54526,19.5,441.3,29.9,35.3,20.1
5,24.70198,46.54485,19.4,427.5,28.8,35.4,19.7
5,24.70221,46.54444,18.8,436.2,28.7,35.0,19.4
6,24.62847,46.51883,28.2,449.2,34.6,35.2,19.8
6,24.62853,46.51834,29.9,444.2,35.4,34.9,19.9
6,24.62858,46.51785,28.2,453.7,34.5,35.3,19.1
6,24.62863,46.51737,28.9,456.4,35.2,34.8,20.7
6,24.62868,46.51688,30.5,449.8,35.2,35.1,20.1
6,24.62873,46.51639,28.2,444.5,34.3,34.6,19.7
6,24.62878,46.51590,28.4,447.2,34.9,35.2,19.2
6,24.62883,46.51542,29.3,453.0,34.7,35.1,20.5
6,24.62889,46.51493,27.2,444.8,34.0,35.0,19.7
6,24.62894,46.51444,29.3,454.0,34.1,35.4,20.5
6,24.62899,46.51395,29.3,444.7,35.1,34.5,20.1
6,24.62904,46.51347,28.9,444.4,33.9,35.1,19.4
6,24.62909,46.51298,28.3,447.1,35.1,35.4,20.8
6,24.62914,46.51249,26.4,448.5,33.8,34.6,20.3
6,24.62919,46.51200,26.8,455.7,34.3,35.0,20.8
6,24.62925,46.51151,26.0,455.3,33.3,34.7,20.3
6,24.62930,46.51103,28.4,450.1,33.7,34.6,19.5
6,24.62935,46.51054,28.7,445.4,34.6,35.2,20.8
6,24.62940,46.51005,27.8,449.4,33.1,34.6,20.0
6,24.62945,46.50956,30.7,448.6,35.4,34.7,19.7
6,24.62950,46.50908,26.0,454.4,32.1,35.0,19.9
6,24.62955,46.50859,68.0,547.2,33.7,35.1,19.3
6,24.62961,46.50810,69.7,555.6,34.8,34.7,20.0
6,24.62966,46.50761,69.8,542.7,35.6,34.9,19.3
6,24.62971,46.50713,66.3,547.0,33.6,34.8,20.8
6,24.62976,46.50664,69.8,549.4,34.2,34.9,20.6
6,24.62981,46.50615,68.1,553.3,34.4,35.4,20.5
6,24.62986,46.50566,68.5,553.2,33.9,34.8,20.4
6,24.62991,46.50518,67.8,550.1,32.9,34.6,19.3
6,24.62997,46.50469,68.4,545.7,34.5,34.8,19.4
6,24.63002,46.50420,26.1,445.3,33.7,35.3,20.5
6,24.63007,46.50371,28.9,456.0,33.5,35.1,19.7
6,24.63012,46.50323,26.4,455.2,33.8,34.7,19.4
6,24.63017,46.50274,26.9,443.4,32.7,34.9,20.4
6,24.63022,46.50225,29.7,451.3,34.3,35.1,20.1
6,24.63027,46.50176,30.2,448.6,35.0,34.8,20.1
6,24.63033,46.50128,28.1,448.2,34.7,35.0,21.0
6,24.63038,46.50079,29.4,448.0,34.5,35.0,20.8
6,24.63043,46.50030,27.2,446.1,34.2,35.4,20.1
6,24.63048,46.49981,29.8,443.2,35.4,35.0,19.2
6,24.63053,46.49933,28.4,456.6,33.3,35.0,20.4
6,24.63058,46.49884,29.7,447.1,34.3,35.3,20.3
6,24.63063,46.49835,30.4,455.8,35.1,35.0,19.8
6,24.63069,46.49786,28.9,449.5,34.5,34.9,19.1
6,24.63074,46.49738,29.9,451.1,35.7,34.7,19.2
6,24.63079,46.49689,28.4,445.9,35.0,34.8,19.8
6,24.63084,46.49640,26.1,449.9,33.9,34.8,20.3
6,24.63089,46.49591,27.8,453.8,34.7,34.8,20.0
6,24.63094,46.49543,26.8,452.0,32.7,34.9,20.7
6,24.63099,46.49494,25.7,452.4,32.9,34.7,20.5
7,24.65378,46.62182,14.0,445.5,27.4,34.9,19.3
7,24.65296,46.62137,12.3,449.0,27.0,35.0,19.1
7,24.65214,46.62092,16.6,441.7,29.0,35.2,20.3
7,24.65132,46.62048,12.9,447.0,25.5,35.3,20.3
7,24.65050,46.62003,16.6,444.4,27.4,35.3,20.3
7,24.64969,46.61958,14.1,449.7,27.1,34.7,19.5
7,24.64887,46.61914,16.4,437.4,28.8,35.5,19.6
7,24.64805,46.61869,12.1,448.9,26.5,35.2,20.4
7,24.64723,46.61825,15.3,448.8,28.5,34.8,19.5
7,24.64641,46.61780,12.5,446.8,25.8,35.0,20.1
7,24.64559,46.61735,15.7,444.4,28.3,35.1,19.4
7,24.64478,46.61691,15.0,438.9,27.2,35.3,19.8
7,24.64396,46.61646,13.4,437.7,27.2,35.0,19.0
7,24.64314,46.61601,16.5,445.6,27.8,35.3,19.8
7,24.64232,46.61557,15.7,446.7,28.6,35.4,20.1
7,24.64150,46.61512,14.8,447.7,27.4,34.9,19.1
7,24.64068,46.61467,14.0,439.3,27.9,35.4,19.8
7,24.63987,46.61423,13.7,438.3,27.3,35.2,19.0
7,24.63905,46.61378,13.8,439.0,27.8,35.4,20.1
7,24.63823,46.61333,13.1,450.2,26.3,34.8,19.4
7,24.63741,46.61289,16.7,446.4,27.5,35.3,19.6
7,24.63659,46.61244,52.1,543.5,26.0,34.6,20.3
7,24.63577,46.61200,56.8,539.0,29.2,35.0,19.7
7,24.63495,46.61155,54.7,541.1,27.4,34.5,19.1
7,24.63414,46.61110,54.1,540.1,26.7,34.8,20.7
7,24.63332,46.61066,56.5,551.3,29.0,34.7,20.0
7,24.63250,46.61021,55.3,545.3,28.4,34.7,19.6
7,24.63168,46.60976,52.9,548.4,26.9,34.5,20.5
7,24.63086,46.60932,55.1,544.1,26.9,35.2,19.1
7,24.63004,46.60887,53.8,542.3,26.2,35.2,19.2
7,24.62923,46.60842,16.1,443.6,27.5,35.1,20.7
7,24.62841,46.60798,16.0,445.5,27.0,34.5,20.9
7,24.62759,46.60753,16.8,439.0,27.9,35.5,19.6
7,24.62677,46.60709,13.9,444.0,27.7,35.0,20.9
7,24.62595,46.60664,12.1,437.8,25.2,35.5,20.3
7,24.62513,46.60619,12.3,444.1,25.4,34.6,20.4
7,24.62432,46.60575,14.6,443.5,26.5,34.6,20.2
7,24.62350,46.60530,17.0,447.8,29.3,35.4,20.1
7,24.62268,46.60485,15.7,440.6,28.4,35.1,20.6
7,24.62186,46.60441,16.0,443.7,28.3,34.6,20.9
7,24.62104,46.60396,14.9,447.9,27.6,35.0,19.6
7,24.62022,46.60351,16.2,446.1,27.7,35.0,19.3
7,24.61941,46.60307,15.3,439.0,27.0,34.8,19.3
7,24.61859,46.60262,16.9,440.0,28.6,35.2,19.6
7,24.61777,46.60217,14.1,446.1,27.5,35.4,20.1
7,24.61695,46.60173,12.4,440.0,26.5,35.3,19.8
7,24.61613,46.60128,13.8,438.7,26.9,34.9,19.2
7,24.61531,46.60084,15.0,438.6,27.4,35.0,20.1
7,24.61449,46.60039,16.2,439.2,28.7,35.4,19.4
7,24.61368,46.59994,15.2,441.7,27.4,34.6,19.9
8,24.71433,46.77809,24.5,420.9,32.8,34.6,20.8
8,24.71451,46.77735,28.2,431.3,34.8,35.2,19.6
8,24.71469,46.77662,26.5,432.4,32.7,34.6,19.5
8,24.71487,46.77589,24.4,428.7,33.2,35.4,19.0
8,24.71506,46.77516,28.0,418.5,33.4,35.1,19.8
8,24.71524,46.77443,25.9,427.0,33.4,34.6,20.1
8,24.71542,46.77369,25.9,421.3,32.8,34.8,19.7
8,24.71560,46.77296,24.1,417.9,31.8,35.2,19.3
8,24.71578,46.77223,26.5,430.7,33.8,35.0,20.2
8,24.71597,46.77150,27.7,426.8,34.3,35.1,19.7
8,24.71615,46.77076,24.0,431.1,32.7,34.8,20.7
8,24.71633,46.77003,27.3,426.7,34.6,35.0,19.3
8,24.71651,46.76930,27.0,420.5,33.7,35.1,20.5
8,24.71669,46.76857,24.2,418.1,31.7,35.2,19.7
8,24.71688,46.76784,25.2,429.7,32.1,34.5,19.0
8,24.71706,46.76710,26.4,429.9,34.0,35.3,19.9
8,24.71724,46.76637,27.2,419.2,32.9,35.1,19.4
8,24.71742,46.76564,24.6,420.7,33.1,35.5,19.6
8,24.71760,46.76491,24.4,430.7,31.5,35.5,19.3
8,24.71779,46.76418,26.1,418.3,33.7,35.2,19.6
8,24.71797,46.76344,26.7,424.8,33.3,35.1,19.4
8,24.71815,46.76271,65.6,525.4,32.7,34.7,20.0
8,24.71833,46.76198,66.7,531.8,33.7,34.6,20.5
8,24.71851,46.76125,68.4,519.8,34.5,34.8,20.9
8,24.71870,46.76051,67.6,531.9,34.7,35.3,20.3
8,24.71888,46.75978,66.4,528.2,33.1,35.3,20.6
8,24.71906,46.75905,64.0,527.4,32.1,35.4,20.3
8,24.71924,46.75832,65.8,518.7,33.3,34.5,19.3
8,24.71942,46.75759,65.3,522.5,33.1,35.2,20.7
8,24.71961,46.75685,66.0,527.0,32.9,34.8,20.5
8,24.71979,46.75612,26.9,423.0,33.0,35.5,20.7
8,24.71997,46.75539,24.7,419.0,32.1,34.7,20.1
8,24.72015,46.75466,25.1,432.8,32.2,35.2,19.7
8,24.72033,46.75392,28.8,427.6,34.9,35.2,20.1
8,24.72051,46.75319,27.7,419.0,33.4,34.7,19.6
